,,SYS_MS,MAKE_CAN_ID(HEX),DATA(HEX)
RX,Exd,1391531983,18E4D0F3,FF 20 20 20 20 FF FF FF 
RX,Exd,1391541421,1CEB56F4,04 00 FF FF FF FF FF FF 
RX,Exd,1391551429,1CEB56F4,05 FF FF FF FF FF FF FF 
RX,Exd,1391561863,1CEB56F4,06 FF FF FF FF FF FF 17 
RX,Exd,1391571384,1CEB56F4,07 0E 0B 07 E4 FF FF FF 
RX,Exd,1391575837,1CECF456,13 31 00 07 FF 00 02 00 
RX,Exd,1391580889,1801F456,AA 00 00 00 00 35 39 31 
RX,Exd,1391631422,1CEC56F4,10 0D 00 02 FF 00 06 00 
RX,Exd,1391635827,1CECF456,11 02 01 FF FF 00 06 00 
RX,Exd,1391651413,1CEB56F4,01 77 01 00 00 03 0B 60 
RX,Exd,1391661376,1CEB56F4,02 1B 73 8A 02 0E 19 FF 
RX,Exd,1391665855,1CECF456,13 0D 00 02 FF 00 06 00 
RX,Exd,1391670801,1807F456,35 05 08 31 10 19 20 00 
RX,Exd,1391675859,1808F456,4C 1D D0 07 D0 07 A0 0F 
RX,Exd,1391701707,100956F4,00 00 00 00 00 00 00 00 
RX,Exd,1391910797,1807F456,35 05 08 31 10 19 20 00 
RX,Exd,1391951202,100956F4,00 00 00 00 00 00 00 00 
TX,Exd,73259,0101FFEE,5C 09 01 01 01 01 01 01 
TX,Exd,73261,0102FFEE,5C 0A 01 01 01 01 01 01 
RX,Exd,1392160792,1807F456,35 05 08 31 10 19 20 00 
RX,Exd,1392165842,1808F456,4C 1D D0 07 D0 07 A0 0F 
RX,Exd,1392201561,100956F4,00 00 00 00 00 00 00 00 
RX,Exd,1392410819,1807F456,36 05 08 31 10 19 20 00 
RX,Exd,1392451218,100956F4,AA 00 00 00 00 00 00 00 
RX,Exd,1392455577,100AF456,00 00 00 00 00 00 00 00 
RX,Exd,1392501936,18E1D0F3,64 61 31 32 31 31 32 34 
RX,Exd,1392512020,18E2D0F3,2F 33 37 39 30 33 31 20 
